 Nom Ville ;MAJ   ; Code Postal ; Code INSEE ;Code Région; Latitude ; Longitude ; Eloignement ;
 Argein ;ARGEIN   ;9800;9014;73;42.933333;1;2.35;
 Uchentein ;UCHENTEIN   ;9800;9317;73;42.883333;1;2.35;
 Belvès ;BELVES   ;24170;24035;72;44.783333;1;1.27;
 Brouchaud ;BROUCHAUD   ;24210;24066;72;45.2;1;0.95;
 Fleurac ;FLEURAC   ;24580;24183;72;45.016667;1;0.91;
 Larzac ;LARZAC   ;24170;24230;72;44.75;1;1.42;
 Mouzens ;MOUZENS   ;24220;24298;72;44.85;1;1.39;
 Sagelat ;SAGELAT   ;24170;24360;72;44.783333;1;1.27;
 Saint-Pantaly-d'Ans ;SAINT PANTALY D ANS;24640;24475;72;45.25;1;1;
 Saint-Paul-la-Roche ;SAINT PAUL LA ROCHE;24800;24481;72;45.483333;1;1.91;
 Saint-Pierre-de-Frugie ;SAINT PIERRE DE FRUGIE;24450;24486;72;45.583333;1;2.36;
 Saint-Sulpice-d'Excideuil ;SAINT SULPICE D EXCIDEUIL;24800;24505;72;45.383333;1;1.45;
 Salles-de-Belvès ;SALLES DE BELVES ;24170;24517;72;44.7;1;1.65;
 Dame-Marie ;DAME MARIE  ;27160;27195;23;48.8;1;2.22;
 Écauville ;ECAUVILLE   ;27110;27212;23;49.116667;1;0.75;
 Gouville ;GOUVILLE   ;27240;27293;23;48.85;1;1.89;
 La Harengère ;LA HARENGERE  ;27370;27313;23;49.233333;1;0.97;
 Le Mesnil-Hardray ;LE MESNIL HARDRAY ;27190;27402;23;48.933333;1;1.33;
 Nogent-le-Sec ;NOGENT LE SEC ;27190;27436;23;48.916667;1;1.44;
 Saint-Germain-de-Pasquier ;SAINT GERMAIN DE PASQUIER;27370;27545;23;49.25;1;1;
 Les Autels-Villevillon ;LES AUTELS VILLEVILLON ;28330;28016;24;48.166667;1;1.73;
 Meaucé ;MEAUCE   ;28240;28240;24;48.483333;1;1.73;
 Tardais ;TARDAIS   ;28250;28381;24;48.583333;1;1.73;
 Vaupillon ;VAUPILLON   ;28240;28401;24;48.466667;1;1.73;
 Beaupuy ;BEAUPUY   ;31850;31053;72;43.65;1;1.5;
 Casties-Labrande ;CASTIES LABRANDE  ;31430;31122;72;43.333333;1;0.62;
 Marsoulas ;MARSOULAS   ;31260;31321;72;43.1;1;1.02;
 Martres-Tolosane ;MARTRES TOLOSANE  ;31220;31324;72;43.2;1;1.06;
 Ardizas ;ARDIZAS   ;32430;32007;91;43.716667;1;1.85;
 Nizas ;NIZAS   ;32130;32295;91;43.5;1;1.85;
 Razengues ;RAZENGUES   ;32600;32339;91;43.65;1;1.85;
 Saint-Cricq ;SAINT CRICQ  ;32430;32372;91;43.7;1;1.85;
 Savignac-Mona ;SAVIGNAC MONA  ;32130;32421;91;43.483333;1;1.85;
 Sauzelles ;SAUZELLES   ;36220;36213;24;46.65;1;2.28;
 Autrèche ;AUTRECHE   ;37110;37009;24;47.533333;1;1.63;
 Bléré ;BLERE   ;37150;37027;24;47.333333;1;1.36;
 Chédigny ;CHEDIGNY   ;37310;37066;24;47.2;1;1.36;
 Loches ;LOCHES   ;37600;37132;24;47.133333;1;1.36;
 Perrusson ;PERRUSSON   ;37600;37183;24;47.1;1;1.36;
 Saint-Ouen-les-Vignes ;SAINT OUEN LES VIGNES;37530;37230;24;47.466667;1;1.36;
 Sublaines ;SUBLAINES   ;37310;37253;24;47.266667;1;1.59;
